epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1848.68,1.05144,0.82507,1.12905,0.82877,0.91709,0.8555,0.65437,0.9302,0.78291,0.95016,0.0011882,0.0011882,0.0011882
43,1899.41,0.98301,0.76529,1.08618,0.84191,0.88421,0.85527,0.65744,0.89768,0.85859,0.95663,0.0011684,0.0011684,0.0011684
44,1946.7,1.01412,0.79248,1.1136,0.85764,0.89474,0.86391,0.67546,0.88794,0.84842,0.93802,0.0011486,0.0011486,0.0011486
45,1992.96,1.01388,0.74865,1.10668,0.86729,0.89429,0.88589,0.69511,0.88745,0.78317,0.94313,0.0011288,0.0011288,0.0011288
46,2040.87,1.02906,0.77911,1.12266,0.87653,0.89679,0.89224,0.6997,0.87421,0.67824,0.93932,0.001109,0.001109,0.001109
47,2088.59,0.98692,0.724,1.09682,0.88826,0.90526,0.89121,0.71102,0.83989,0.66051,0.92756,0.0010892,0.0010892,0.0010892
48,2141.51,1.03894,0.78092,1.1398,0.85408,0.92632,0.88071,0.68793,0.85389,0.73794,0.94411,0.0010694,0.0010694,0.0010694
49,2196.72,1.00409,0.73703,1.13025,0.84945,0.90526,0.88579,0.69016,0.89448,0.8031,0.95281,0.0010496,0.0010496,0.0010496
50,2247.27,0.98499,0.72954,1.09144,0.85255,0.91296,0.87441,0.68473,0.86762,0.80122,0.93054,0.0010298,0.0010298,0.0010298
51,2299.15,0.98647,0.74612,1.12737,0.88361,0.87909,0.87638,0.66262,0.90154,0.69287,0.94399,0.00101,0.00101,0.00101
52,2347.52,0.94702,0.74527,1.09477,0.8836,0.87368,0.87089,0.67187,0.88737,0.66906,0.93776,0.0009902,0.0009902,0.0009902
53,2394.26,0.94048,0.76171,1.08069,0.88594,0.92632,0.88664,0.66496,0.96179,0.72848,0.99232,0.0009704,0.0009704,0.0009704
54,2440.45,1.01408,0.76125,1.11115,0.88563,0.92632,0.88173,0.6978,0.88146,0.75201,0.93231,0.0009506,0.0009506,0.0009506
55,2487.72,0.9761,0.78943,1.10839,0.86454,0.90526,0.85848,0.67239,0.8711,0.75579,0.93903,0.0009308,0.0009308,0.0009308
56,2536.16,0.93882,0.71148,1.10018,0.84443,0.89474,0.85105,0.66026,0.89926,0.74023,0.95301,0.000911,0.000911,0.000911
57,2590.39,0.93245,0.65897,1.08363,0.86004,0.89474,0.86831,0.67142,0.92916,0.7015,0.96341,0.0008912,0.0008912,0.0008912
58,2642.07,0.94728,0.71147,1.0977,0.83955,0.93631,0.86355,0.66352,0.89664,0.68467,0.95266,0.0008714,0.0008714,0.0008714
59,2692.38,0.94404,0.71962,1.09706,0.83927,0.93438,0.88457,0.67378,0.88547,0.66849,0.946,0.0008516,0.0008516,0.0008516
60,2745.2,0.91156,0.68262,1.07711,0.87515,0.88546,0.88527,0.68878,0.90091,0.70716,0.95479,0.0008318,0.0008318,0.0008318
61,2797.64,0.94069,0.74175,1.08838,0.86705,0.90526,0.89006,0.6844,0.91079,0.7157,0.9625,0.000812,0.000812,0.000812
62,2848.96,0.9641,0.72135,1.10674,0.88818,0.89474,0.8977,0.68918,0.9203,0.67655,0.96607,0.0007922,0.0007922,0.0007922
63,2896.28,0.96934,0.70934,1.07582,0.89889,0.89474,0.89489,0.7054,0.86201,0.62811,0.946,0.0007724,0.0007724,0.0007724
64,2942.02,0.97259,0.729,1.11097,0.89174,0.92632,0.89126,0.69044,0.86702,0.62637,0.94384,0.0007526,0.0007526,0.0007526
65,2990.92,0.92832,0.66179,1.08544,0.89364,0.91579,0.87745,0.68333,0.8595,0.63886,0.94177,0.0007328,0.0007328,0.0007328
66,3040.66,0.9026,0.66207,1.08569,0.89525,0.90526,0.88498,0.69034,0.8663,0.63552,0.93867,0.000713,0.000713,0.000713
67,3088.59,0.93845,0.66429,1.08464,0.89653,0.91579,0.87901,0.68323,0.88068,0.63995,0.93991,0.0006932,0.0006932,0.0006932
68,3134.79,0.91506,0.67136,1.07726,0.91243,0.90526,0.88164,0.70107,0.84106,0.63613,0.92615,0.0006734,0.0006734,0.0006734
69,3184.35,0.91811,0.69251,1.08939,0.89628,0.90526,0.8776,0.68306,0.83493,0.65659,0.92192,0.0006536,0.0006536,0.0006536
70,3233.99,0.96078,0.75824,1.10149,0.88391,0.90526,0.86861,0.67284,0.8475,0.64051,0.9224,0.0006338,0.0006338,0.0006338
71,3281.38,0.90245,0.7004,1.06927,0.88535,0.89474,0.86768,0.66914,0.82885,0.63174,0.91498,0.000614,0.000614,0.000614
72,3322.41,0.89801,0.63729,1.0637,0.87274,0.91579,0.87791,0.69694,0.85175,0.67955,0.93084,0.0005942,0.0005942,0.0005942
73,3364.8,0.90797,0.66363,1.0642,0.8816,0.91579,0.87619,0.69821,0.83729,0.69969,0.92169,0.0005744,0.0005744,0.0005744
74,3406.25,0.87658,0.6503,1.06631,0.88322,0.90526,0.8712,0.69883,0.81821,0.70304,0.91915,0.0005546,0.0005546,0.0005546
75,3448.55,0.90245,0.69575,1.07937,0.87526,0.90526,0.85794,0.6866,0.82078,0.70283,0.91555,0.0005348,0.0005348,0.0005348
76,3490.56,0.89244,0.6316,1.08197,0.88492,0.92632,0.85723,0.6831,0.8379,0.689,0.93198,0.000515,0.000515,0.000515
