epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1772.3,0.85919,0.75762,0.99791,0.89538,0.97668,0.97407,0.76439,0.85984,0.75821,1.05732,0.000349331,0.000349331,0.000349331
43,1876.21,0.87618,0.82555,0.99695,0.90291,0.97529,0.97568,0.76654,0.88665,0.76401,1.04259,0.00034351,0.00034351,0.00034351
44,1922.49,0.87165,0.81091,1.0055,0.8925,0.97774,0.97114,0.75853,0.91635,0.76058,1.0654,0.000337688,0.000337688,0.000337688
45,1959.85,0.86639,0.8187,1.00232,0.91622,0.96157,0.97281,0.74626,0.90316,0.79121,1.07699,0.000331867,0.000331867,0.000331867
46,1999.91,0.86114,0.80206,0.98898,0.90087,0.95437,0.97848,0.76614,0.90037,0.77544,1.06827,0.000326046,0.000326046,0.000326046
47,2038.27,0.87624,0.79447,1.00203,0.90999,0.9524,0.97841,0.76938,0.884,0.75491,1.0618,0.000320225,0.000320225,0.000320225
48,2075.55,0.88038,0.77974,0.99474,0.89577,0.96547,0.97178,0.76522,0.85345,0.75161,1.04408,0.000314404,0.000314404,0.000314404
49,2113.51,0.88319,0.79717,0.9933,0.89667,0.96498,0.97244,0.75687,0.85801,0.80023,1.05129,0.000308582,0.000308582,0.000308582
50,2153.4,0.84954,0.77452,0.99885,0.90819,0.96295,0.96873,0.76564,0.86405,0.83815,1.04033,0.000302761,0.000302761,0.000302761
51,2244.59,0.87541,0.74434,0.99841,0.92227,0.9633,0.96941,0.7538,0.88331,0.76849,1.04466,0.00029694,0.00029694,0.00029694
52,2349.7,0.84481,0.78101,0.99256,0.93139,0.94006,0.96552,0.74579,0.87659,0.75997,1.03759,0.000291119,0.000291119,0.000291119
53,2453.43,0.84027,0.76341,0.99087,0.89145,0.96645,0.96468,0.74679,0.87512,0.78153,1.03505,0.000285298,0.000285298,0.000285298
54,2556.6,0.86768,0.78666,0.99531,0.8861,0.95686,0.96885,0.74742,0.89634,0.73211,1.08945,0.000279476,0.000279476,0.000279476
55,2639.81,0.82488,0.72535,0.98202,0.88517,0.9605,0.9698,0.75711,0.85719,0.72057,1.04934,0.000273655,0.000273655,0.000273655
56,2678,0.83538,0.7213,0.99256,0.88629,0.9774,0.97518,0.76229,0.87039,0.70855,1.06502,0.000267834,0.000267834,0.000267834
57,2718.28,0.86728,0.72318,1.00047,0.88625,0.98009,0.97333,0.75944,0.89189,0.71118,1.06136,0.000262013,0.000262013,0.000262013
58,2772.4,0.8358,0.72574,0.98777,0.89758,0.96023,0.97109,0.76188,0.87094,0.7165,1.06143,0.000256192,0.000256192,0.000256192
59,2879.03,0.83106,0.73781,0.98558,0.92529,0.91384,0.97052,0.75355,0.89271,0.72918,1.05801,0.00025037,0.00025037,0.00025037
60,2974.93,0.8404,0.72349,0.98854,0.88621,0.96701,0.97218,0.74287,0.89762,0.72854,1.08549,0.000244549,0.000244549,0.000244549
61,3011.51,0.84312,0.74417,0.99945,0.89,0.96751,0.97322,0.75782,0.86955,0.71953,1.05671,0.000238728,0.000238728,0.000238728
62,3048.63,0.84258,0.78787,1.01761,0.88571,0.94724,0.97477,0.75886,0.87522,0.72583,1.05287,0.000232907,0.000232907,0.000232907
63,3085.88,0.84593,0.71493,0.99323,0.90697,0.95011,0.9691,0.75738,0.87103,0.71681,1.06761,0.000227086,0.000227086,0.000227086
64,3125.75,0.83512,0.68759,0.9844,0.89916,0.97884,0.96835,0.75952,0.87545,0.71859,1.05521,0.000221264,0.000221264,0.000221264
65,3164.47,0.85882,0.70565,0.98708,0.90025,0.97426,0.97099,0.76086,0.86529,0.71561,1.04566,0.000215443,0.000215443,0.000215443
66,3201.59,0.81954,0.71259,0.98141,0.88981,0.96455,0.97053,0.75528,0.86993,0.71735,1.05442,0.000209622,0.000209622,0.000209622
67,3238.82,0.82399,0.72498,0.98832,0.89407,0.94832,0.97587,0.76408,0.88041,0.724,1.05299,0.000203801,0.000203801,0.000203801
68,3276.26,0.80919,0.71361,0.99374,0.8883,0.95996,0.9725,0.75424,0.87442,0.71802,1.05031,0.00019798,0.00019798,0.00019798
69,3318.42,0.81537,0.69707,0.9724,0.89674,0.95723,0.97487,0.75966,0.86359,0.71561,1.06183,0.000192158,0.000192158,0.000192158
70,3356.24,0.81922,0.72609,0.98032,0.89852,0.95088,0.97986,0.76199,0.87684,0.70975,1.06357,0.000186337,0.000186337,0.000186337
71,3393.69,0.81781,0.68355,0.98785,0.90854,0.95159,0.9799,0.76605,0.89982,0.70603,1.06192,0.000180516,0.000180516,0.000180516
72,3433.19,0.80216,0.65009,0.97486,0.91373,0.94258,0.97852,0.75736,0.87055,0.68385,1.0628,0.000174695,0.000174695,0.000174695
73,3473.76,0.80875,0.69596,0.98037,0.91873,0.93448,0.97205,0.74848,0.89964,0.70524,1.0708,0.000168874,0.000168874,0.000168874
74,3514.53,0.82579,0.70323,0.97845,0.92156,0.92191,0.97108,0.75137,0.90242,0.76015,1.07445,0.000163052,0.000163052,0.000163052
75,3555.88,0.79612,0.66983,0.96489,0.91567,0.91899,0.96975,0.7557,0.87538,0.72684,1.06402,0.000157231,0.000157231,0.000157231
76,3596.59,0.79832,0.68279,0.98194,0.90642,0.92168,0.96516,0.75044,0.88333,0.70936,1.05772,0.00015141,0.00015141,0.00015141
77,3638.21,0.81669,0.68632,0.97508,0.90449,0.92953,0.9653,0.7521,0.87731,0.71665,1.05221,0.000145589,0.000145589,0.000145589
78,3676.84,0.81027,0.66295,0.97356,0.9036,0.92718,0.96563,0.74621,0.89345,0.72905,1.06002,0.000139768,0.000139768,0.000139768
79,3713.92,0.77573,0.65866,0.97238,0.92402,0.92113,0.96974,0.74394,0.90349,0.71216,1.068,0.000133946,0.000133946,0.000133946
80,3754.9,0.78762,0.6845,0.98322,0.92235,0.9297,0.9689,0.75181,0.8858,0.70257,1.06608,0.000128125,0.000128125,0.000128125
81,3801.55,0.79081,0.6393,0.97901,0.90527,0.94533,0.96832,0.74812,0.89211,0.70027,1.06979,0.000122304,0.000122304,0.000122304
82,3849.36,0.78504,0.67513,0.97139,0.91359,0.93581,0.9682,0.73722,0.90708,0.70299,1.07572,0.000116483,0.000116483,0.000116483
83,3898.5,0.78827,0.65484,0.97725,0.89807,0.92749,0.96757,0.74143,0.91171,0.70447,1.07621,0.000110662,0.000110662,0.000110662
84,3946.54,0.75166,0.64079,0.95359,0.87488,0.93376,0.96731,0.74505,0.89415,0.71567,1.07388,0.00010484,0.00010484,0.00010484
